Reporter	normalized log2 ratio
621672	0.303
621673	0.075
621674	0.158
621675	0.067
621676	0.337
621677	0.021
621678	-0.215
621679	-0.675
621680	-0.148
621681	0.084
621682	-0.02
621683	0.154
621684	0.157
621685	-3.879
621686	-0.155
621687	0.22
621688	0.093
621689	-0.027
621690	-0.165
621691	-0.033
621692	0.257
621693	0.147
621694	-0.297
621695	0.306
621696	-0.07
621697	0.682
621698	0.083
621699	0.117
621700	-0.018
621701	0.249
621702	0.24
621703	0.089
621704	-0.006
621705	0.056
621706	0.005
621707	0.254
621708	0.158
621709	-0.123
621710	0.27
621711	0.153
621712	0.394
621713	0.273
621714	-0.116
621715	0.281
621716	0.102
621717	0.169
621718	0.101
621719	0.137
621720	0.051
621721	-0.134
621722	-0.016
621723	-0.567
621724	-0.289
621725	-0.394
621726	0.548
621727	-0.648
621728	-0.004
621729	-1.061
621730	-0.36
621731	-0.135
621732	0.22
621733	0.233
621734	0.104
621735	0.163
621736	-0.451
621737	-0.115
621738	0.268
621739	0.11
621740	-0.076
621741	1.343
621742	0.052
621743	0.121
621744	-0.43
621745	0.102
621746	0.029
621747	-0.18
621748	-0.395
621749	0.08
621750	-0.366
621751	0.254
621752	-0.369
621753	0.028
621754	-0.115
621755	-0.374
621756	-0.186
621757	0.247
621758	0.256
621759	0.238
621760	0.124
621761	0.006
621762	0.248
621763	0.23
621764	0.202
621765	0.062
621766	-0.099
621767	-0.095
621768	-0.132
621769	-0.14
621770	-0.447
621771	0.297
621772	0.056
621773	-0.116
621774	0.014
621775	0.19
621776	-0.026
621777	-0.014
621778	-0.334
621779	-0.075
621780	0.762
621781	-0.57
621782	-1.137
621783	-0.04
621784	0.037
621785	-0.005
621786	0.221
621787	0.153
621788	-0.766
621789	-0.194
621790	-0.004
621791	-0.231
621792	0.23
621793	0.104
621794	-0.39
621795	-0.416
621796	-0.067
621797	-0.252
621798	0.359
621799	0.096
621800	0.272
621813	0.537
621814	1.514
621815	0.096
621816	-0.121
621817	-2.204
621818	0.115
621819	0.283
621820	0.018
621821	0.054
621822	0.018
621823	0.054
621824	1.345
621825	0.458
621826	0.119
621827	0.325
621828	0.283
621829	-0.09
621830	0.096
621831	0.403
621832	0.293
621833	0.345
621834	-0.273
621835	0.136
621836	0.016
621837	-0.788
621838	-1.228
621839	-0.006
621840	1.364
621841	-0.075
621842	-0.127
621843	0.173
621844	0.222
622061	-0.068
622062	0.392
622063	-0.363
622064	-0.348
622065	-2.781
622066	-0.586
622067	0.064
622068	-0.339
622069	0.214
622070	0.289
622071	0.126
622072	-5.836
622073	1.48
622074	-0.008
622075	-0.439
622076	0.074
622077	-0.293
622078	0.131
622079	-0.328
622080	-0.148
622081	-0.03
622082	-0.104
622083	0.297
622084	-0.181
622085	-0.32
622086	-0.084
622087	-0.027
622088	-0.328
622089	0.362
622090	-0.273
622091	1.199
622092	-0.134
622093	-0.129
622094	0.041
622095	0.993
622096	-0.2
622097	-0.046
622098	-0.059
622099	0.096
622100	0.197
622101	0.131
622102	-0.458
622103	-0.039
622104	-0.537
622105	-0.107
622106	-0.095
622107	0.058
622108	-2.318
622109	-0.13
622110	-1.991
622111	-0.137
622112	0.223
622113	0.192
622114	0.158
622115	0.299
622116	0.058
622117	-0.225
622118	-0.276
622119	0.219
622120	-0.075
622121	0.055
622122	0.343
622123	0.014
622124	0.134
622125	-0.031
622126	0.231
622127	0.228
622128	-0.272
622129	0.203
622130	0.138
622131	0.019
622132	0.19
622133	0.725
622134	-0.714
622135	-0.002
622136	0.35
622137	0.177
622138	-0.14
622139	-0.547
622140	0.227
622141	0.095
622142	-0.004
622143	-1.017
622144	-1.468
622145	-0.174
622146	0.039
622147	-0.697
622148	-1.99
622149	0.201
622150	-0.086
622151	0.188
622152	-0.124
622153	-0.493
622154	-0.354
622155	0.311
622156	0.211
622157	0.274
622158	-0.27
622159	0.201
622160	-0.298
622161	0.164
622162	-0.078
622163	-0.165
622164	0.232
622165	-0.145
622166	-0.191
622167	-0.285
622168	-0.589
622169	-0.317
622170	0.752
622171	-0.243
622172	0.152
622173	0.703
622174	0.403
622175	0.081
622176	0.341
622177	0.051
622178	-1.122
622179	0.032
622180	0.159
622181	-1.363
622182	0.146
622183	0.144
622184	0.104
622185	0.226
622186	0.166
622187	0.187
622188	-0.198
622189	-0.07
622190	0.224
622191	0.18
622192	0.209
622193	0.117
622194	-0.137
622195	-0.19
622196	0.105
622197	0.247
622198	0.239
622199	-0.058
622200	0.153
