reporter_name,gene_name,gene_entrez_id
621569,ychO,945801
621571,yciQ,945850
621579,ytfJ,948737
621580,fimB,948832
621583,ycjV_v2,4306141
621596,yicN,948173
621609,yeiN,946699
621610,fucA,947282
621611,aroD,946210
621612,pblpseudogene_v2,947338
621613,ybeU,945244
621614,argQ,946596
621615,aaeX,947751
621616,yfbP,946754
621617,ygbT,947228
621618,ymfPpseudogene,945703
621619,ymdEpseudogene,945589
621620,yfdS,946426
621621,lsrA,945680
621622,mmuP,946284
621623,tfaXpseudogene,945183
621624,sroB,5061500
621625,hchA,946481
621626,cysP,946883
621627,yqgA,947462
621628,yihL,948368
621629,insN,
621630,ymfT,945720
621631,lsrK,946069
621632,yheV,1450290
621633,ptsA,948437
621634,ytfN,948742
621635,ffs,944909
621636,ygeI,947336
621637,htrE,944819
621638,thrW,947202
621639,puuP,946287
621640,yccE,947468
621641,rzpQ,946107
621642,yidZ,948227
621643,lsrR,946070
621644,ybfN,945713
621645,ybfLpseudogene,947992
621646,yjbS,5061529
621647,ryeA,2847771
621648,ypjJ,1450287
621655,ilvGpseudogene,
621672,cynR,945001
621675,ykgA,944956
621678,rffC,948298
621731,hemN,948362
621743,yghXpseudogene_v2,
621747,lepB,947040
621772,yjjB,948811
621776,bisC,946915
621782,insB_v7,4056034
621795,ymgG,945728
621799,prfB,947369
621813,tfaR,946060
621814,fliF,946448
621815,yfdN,946419
621816,leuZ,945662
621817,tisA,5061526
621818,yddV,945835
621819,livF,947961
621820,livM,947966
621821,ypjC,947640
621822,yfbN,946748
621823,yadK,944835
621824,yfdI,946822
621825,yfjT,947616
621826,yfaHpseudogene,946718
621827,wbbK,946555
621828,fhuD,947510
621829,ybgL,945318
621830,ygeH,946265
621831,yedL,946437
621832,glyU,947343
621833,fucP,947487
621834,fic,947872
621835,yjeO,948677
621836,ryfC,
621837,gltL,945254
621838,tauA,945030
621839,yodD,946469
621840,fliK,946449
621841,crcB,945798
621842,yjdF,948634
621843,hyfH,946965
621844,yagE,944925
621859,ilvGpseudogene,
621876,cynR,945001
621879,ykgA,944956
621882,rffC,948298
621935,hemN,948362
621947,yghXpseudogene_v2,
621951,lepB,947040
621976,yjjB,948811
621980,bisC,946915
621986,insB_v7,4056034
621999,ymgG,945728
622003,prfB,947369
622017,tfaR,946060
622018,fliF,946448
622019,yfdN,946419
622020,leuZ,945662
622021,tisA,5061526
622022,yddV,945835
622023,livF,947961
622024,livM,947966
622025,ypjC,947640
622026,yfbN,946748
622027,yadK,944835
622028,yfdI,946822
622029,yfjT,947616
622030,yfaHpseudogene,946718
622031,wbbK,946555
622032,fhuD,947510
622033,ybgL,945318
622034,ygeH,946265
622035,yedL,946437
622036,glyU,947343
622037,fucP,947487
622038,fic,947872
622039,yjeO,948677
622040,ryfC,
622041,gltL,945254
622042,tauA,945030
622043,yodD,946469
622044,fliK,946449
622045,crcB,945798
622046,yjdF,948634
622047,hyfH,946965
622048,yagE,944925
622076,mdtQ_v2,
622103,yddKpseudogene,947312
622120,intQpseudogene,946130
622131,purL,947032
622182,yaaJ,944745
622191,exoX,946361
622221,uvrC,947203
622222,cstA,945213
622223,perR,945417
622224,galE,945354
622225,yiaC,946460
622226,yedK,946435
622227,fre,948325
622228,yegX,945543
622229,cysU,946882
622230,hisG,946549
622231,thiQ,944785
622232,sokC,2847745
622233,nagB,945290
622234,uvrD,948347
622235,ygcB,947229
622236,ybcO,945147
622237,mdtQ,949123
622238,yncKpseudogene,
622239,argI,948774
622240,yfjU,945062
622241,yafUpseudogene,946644
622242,gnsB,946054
622243,wbbLpseudogene_v2,
622244,paaA,945833
622245,yehA,946642
622246,modC,945362
622247,ybdL,945211
622248,fdx,947160
622249,pepQ,948335
622250,chpB,948747
622251,yncA,946010
622252,yhcA,947741
622253,phoA,945041
622254,yjbF,948533
622255,yfjI,944764
622257,ygeNpseudogene_v2,
622258,metZ,947198
622280,mdtQ_v2,
622307,yddKpseudogene,947312
622324,intQpseudogene,946130
622335,purL,947032
622386,yaaJ,944745
622395,exoX,946361
622425,uvrC,947203
622426,cstA,945213
622427,perR,945417
622428,galE,945354
622429,yiaC,946460
622430,yedK,946435
622431,fre,948325
622432,yegX,945543
622433,cysU,946882
622434,hisG,946549
622435,thiQ,944785
622436,sokC,2847745
622437,nagB,945290
622438,uvrD,948347
622439,ygcB,947229
622440,ybcO,945147
622441,mdtQ,949123
622442,yncKpseudogene,
622443,argI,948774
622444,yfjU,945062
622445,yafUpseudogene,946644
622446,gnsB,946054
622447,wbbLpseudogene_v2,
622448,paaA,945833
622449,yehA,946642
622450,modC,945362
622451,ybdL,945211
622452,fdx,947160
622453,pepQ,948335
622454,chpB,948747
622455,yncA,946010
622456,yhcA,947741
622457,phoA,945041
622458,yjbF,948533
622459,yfjI,944764
622461,ygeNpseudogene_v2,
622462,metZ,947198
622488,phoE,944926
622493,sfmH,945407
622496,ydgJ,947164
622510,cusS,945978
622520,yieE,948226
622553,pgm,945271
622560,yhjV,948057
622568,insOpseudogene_v2,
622575,ydhM,946166
622583,idi,949020
622592,yjaB,948514
622622,cpsG,946574
622624,ymjCpseudogene,1450258
622629,dsrA,946470
622630,yfjH,946123
622631,yfcU,
622632,ygdT,5061519
622633,yciW,945859
622634,sgrS,4056038
622635,yjfZ,948719
622636,fliO,946458
622637,ydfX,946112
622638,yoeB,1450274
622639,fliN,946423
622640,cspF,946090
622641,yfdF,946819
622642,sufC,946128
622643,thrU,948476
622644,yqfB,947380
622645,yggI,947443
622646,ryeB,2847772
622647,ydhR,946177
622648,ybdH,945212
622649,yfjP,947124
622650,ychGpseudogene,
622651,tff,2847773
622652,galF,946560
622653,yncL,5061503
622654,ydaG,945907
622655,rcsD,946717
622656,xapR,946862
622657,recQ,948318
622658,metR,948310
